dimension,slug,label,market,topic_code,intent,tier,review_days,schema_type,pulpopay,url_path
topic,telematica-flotas-mexico-2026,Telemática para flotas en México 2026,mexico,telematica,informational,1,30,Article,False,/temas/telematica-flotas-mexico-2026/
topic,telematica-flotas-mexico-comparativa-2026,Telemática para flotas en México 2026 · comparativa,mexico,telematica,comparativo,1,30,Article,False,/temas/telematica-flotas-mexico-comparativa-2026/
topic,telematica-flotas-mexico-guia-2026,Telemática para flotas en México 2026 · guía,mexico,telematica,guia-practica,1,30,HowTo,False,/temas/telematica-flotas-mexico-guia-2026/
topic,video-telematica-flotas-mexico-2026,Video-telemática y ADAS para flotas en México 2026,mexico,video-telematica,informational,2,60,Article,False,/temas/video-telematica-flotas-mexico-2026/
topic,video-telematica-flotas-mexico-comparativa-2026,Video-telemática y ADAS para flotas en México 2026 · comparativa,mexico,video-telematica,comparativo,2,60,Article,False,/temas/video-telematica-flotas-mexico-comparativa-2026/
topic,tarjetas-flota-mexico-2026,Tarjetas de flota y combustible en México 2026,mexico,fuel-cards,informational,1,30,Article,True,/temas/tarjetas-flota-mexico-2026/
topic,tarjetas-flota-mexico-comparativa-2026,Tarjetas de flota y combustible en México 2026 · comparativa,mexico,fuel-cards,comparativo,1,30,Article,True,/temas/tarjetas-flota-mexico-comparativa-2026/
topic,tarjetas-flota-mexico-guia-2026,Tarjetas de flota y combustible en México 2026 · guía,mexico,fuel-cards,guia-practica,1,30,HowTo,True,/temas/tarjetas-flota-mexico-guia-2026/
topic,combustible-flota-mexico-2026,Combustible y diésel para flotas en México 2026,mexico,combustible,informational,2,60,Article,True,/temas/combustible-flota-mexico-2026/
topic,combustible-flota-mexico-guia-2026,Combustible y diésel para flotas en México 2026 · guía,mexico,combustible,guia-practica,2,60,HowTo,True,/temas/combustible-flota-mexico-guia-2026/
topic,electrificacion-flotas-mexico-2026,Electrificación de flotas en México 2026,mexico,electrificacion-flotas,informational,1,30,Article,False,/temas/electrificacion-flotas-mexico-2026/
topic,electrificacion-flotas-mexico-guia-2026,Electrificación de flotas en México 2026 · guía,mexico,electrificacion-flotas,guia-practica,1,30,HowTo,False,/temas/electrificacion-flotas-mexico-guia-2026/
topic,mantenimiento-flota-mexico-2026,Mantenimiento de flota en México 2026,mexico,mantenimiento,informational,1,30,Article,False,/temas/mantenimiento-flota-mexico-2026/
topic,mantenimiento-flota-mexico-guia-2026,Mantenimiento de flota en México 2026 · guía,mexico,mantenimiento,guia-practica,1,30,HowTo,False,/temas/mantenimiento-flota-mexico-guia-2026/
